longitude,latitude,total_field_intensity_nT
-67.0,88.0,40296.87
-66.0,88.0,40295.16
-65.0,88.0,40293.48
-64.0,88.0,40291.84
-63.0,88.0,40290.23
-62.0,88.0,40288.65
-61.0,88.0,40287.11
-60.0,88.0,40285.6
-59.0,88.0,40284.12
-58.0,88.0,40282.69
-57.0,88.0,40281.29
-56.0,88.0,40279.92
-55.0,88.0,40278.6
-54.0,88.0,40277.32
-53.0,88.0,40276.07
-52.0,88.0,40274.87
-51.0,88.0,40273.7
-50.0,88.0,40272.58
-49.0,88.0,40271.5
-48.0,88.0,40270.47
-47.0,88.0,40269.48
-46.0,88.0,40268.53
-45.0,88.0,40267.63
-44.0,88.0,40266.77
-43.0,88.0,40265.97
-42.0,88.0,40265.2
-41.0,88.0,40264.49
-40.0,88.0,40263.82
-39.0,88.0,40263.21
-38.0,88.0,40262.64
-37.0,88.0,40262.12
-36.0,88.0,40261.65
-35.0,88.0,40261.24
-34.0,88.0,40260.87
-33.0,88.0,40260.56
-32.0,88.0,40260.29
-31.0,88.0,40260.08
-30.0,88.0,40259.93
-29.0,88.0,40259.83
-28.0,88.0,40259.78
-27.0,88.0,40259.78
-26.0,88.0,40259.84
-25.0,88.0,40259.96
-24.0,88.0,40260.13
-23.0,88.0,40260.35
-22.0,88.0,40260.63
-21.0,88.0,40260.97
-20.0,88.0,40261.36
-19.0,88.0,40261.81
-18.0,88.0,40262.32
-17.0,88.0,40262.88
-16.0,88.0,40263.5
-15.0,88.0,40264.17
-14.0,88.0,40264.9
-13.0,88.0,40265.69
-12.0,88.0,40266.53
-11.0,88.0,40267.43
-10.0,88.0,40268.39
-9.0,88.0,40269.4
-8.0,88.0,40270.47
-7.0,88.0,40271.6
-6.0,88.0,40272.78
-5.0,88.0,40274.01
-4.0,88.0,40275.31
-3.0,88.0,40276.65
-2.0,88.0,40278.06
-1.0,88.0,40279.51
0.0,88.0,40281.02
1.0,88.0,40282.59
2.0,88.0,40284.21
3.0,88.0,40285.88
4.0,88.0,40287.6
5.0,88.0,40289.38
6.0,88.0,40291.2
7.0,88.0,40293.08
8.0,88.0,40295.01
9.0,88.0,40296.99
10.0,88.0,40299.01
11.0,88.0,40301.09
12.0,88.0,40303.21
13.0,88.0,40305.38
14.0,88.0,40307.6
15.0,88.0,40309.86
16.0,88.0,40312.16
17.0,88.0,40314.51
18.0,88.0,40316.91
19.0,88.0,40319.34
20.0,88.0,40321.82
21.0,88.0,40324.34
22.0,88.0,40326.89
23.0,88.0,40329.49
24.0,88.0,40332.12
25.0,88.0,40334.79
26.0,88.0,40337.49
27.0,88.0,40340.23
28.0,88.0,40343.0
29.0,88.0,40345.8
30.0,88.0,40348.63
31.0,88.0,40351.5
32.0,88.0,40354.39
33.0,88.0,40357.31
34.0,88.0,40360.26
35.0,88.0,40363.23
36.0,88.0,40366.23
37.0,88.0,40369.25
38.0,88.0,40372.29
39.0,88.0,40375.35
40.0,88.0,40378.43
41.0,88.0,40381.52
42.0,88.0,40384.64
43.0,88.0,40387.77
44.0,88.0,40390.91
45.0,88.0,40394.06
46.0,88.0,40397.23
47.0,88.0,40400.41
48.0,88.0,40403.59
49.0,88.0,40406.78
50.0,88.0,40409.98
51.0,88.0,40413.18
52.0,88.0,40416.39
53.0,88.0,40419.6
54.0,88.0,40422.81
55.0,88.0,40426.01
56.0,88.0,40429.22
57.0,88.0,40432.42
58.0,88.0,40435.62
59.0,88.0,40438.81
60.0,88.0,40441.99
61.0,88.0,40445.17
62.0,88.0,40448.33
63.0,88.0,40451.48
64.0,88.0,40454.62
65.0,88.0,40457.75
66.0,88.0,40460.86
67.0,88.0,40463.96
68.0,88.0,40467.03
69.0,88.0,40470.09
70.0,88.0,40473.13
71.0,88.0,40476.14
72.0,88.0,40479.14
73.0,88.0,40482.11
74.0,88.0,40485.05
75.0,88.0,40487.97
76.0,88.0,40490.86
77.0,88.0,40493.72
78.0,88.0,40496.55
79.0,88.0,40499.36
80.0,88.0,40502.13
81.0,88.0,40504.86
82.0,88.0,40507.57
83.0,88.0,40510.24
